k,fraction,n_train,MapTime(s),RedTime(s),TotalTime(s),Accuracy
1,0.1,2539,2.79,0.11,2.9,0.4808
1,0.25,6225,4.71,0.45,5.16,0.492
1,0.5,12411,7.36,0.1,7.46,0.4996
1,0.75,18704,10.2,0.11,10.31,0.502
1,1.0,25010,13.57,0.1,13.68,0.5052
3,0.1,2539,2.66,0.14,2.8,0.5046
3,0.25,6225,4.96,0.49,5.45,0.5166
3,0.5,12411,7.66,0.15,7.81,0.5244
3,0.75,18704,10.74,0.15,10.89,0.5254
3,1.0,25010,13.46,0.16,13.63,0.5346
5,0.1,2539,3.42,0.2,3.61,0.5176
5,0.25,6225,4.79,0.55,5.34,0.5272
5,0.5,12411,7.94,0.56,8.5,0.5334
5,0.75,18704,10.75,0.2,10.95,0.5526
5,1.0,25010,13.51,0.53,14.03,0.5556
7,0.1,2539,2.91,0.63,3.54,0.5266
7,0.25,6225,5.11,0.67,5.78,0.5374
7,0.5,12411,7.98,0.25,8.22,0.5398
7,0.75,18704,10.91,0.61,11.52,0.555
7,1.0,25010,13.95,0.62,14.57,0.5714
